PF,PA,Team Name,Conference,Conf Wins,Conf Losses,Overall Wins,Overall Losses,AP Wins,AP Losses,Point Differential,Win Percentage
317,93,ARMY,AAC,7,0,9,0,0,0,224,1.0
410,187,TULN,AAC,6,0,8,2,0,2,223,0.8
321,200,NAVY,AAC,5,1,7,2,0,1,121,0.7777777777777778
335,231,MEM,AAC,4,2,8,2,0,0,104,0.8
292,241,ECU,AAC,3,2,5,4,0,1,51,0.5555555555555556
329,309,UNT,AAC,2,3,5,4,0,1,20,0.5555555555555556
227,259,USF,AAC,2,3,4,5,0,2,-32,0.4444444444444444
264,293,UTSA,AAC,2,3,4,5,0,1,-29,0.4444444444444444
192,308,CLT,AAC,2,3,3,6,0,1,-116,0.3333333333333333
217,237,RICE,AAC,2,4,3,7,0,0,-20,0.3
173,335,TEM,AAC,1,4,2,7,0,1,-162,0.2222222222222222
229,315,UAB,AAC,1,4,2,7,0,0,-86,0.2222222222222222
223,346,TLSA,AAC,1,4,3,6,0,1,-123,0.3333333333333333
206,290,FAU,AAC,0,5,2,7,0,0,-84,0.2222222222222222
361,196,SMU,ACC,5,0,8,1,2,0,165,0.8888888888888888
339,208,CLEM,ACC,6,1,7,2,0,1,131,0.7777777777777778
450,231,MIA,ACC,5,1,9,1,0,0,219,0.9
326,218,LOU,ACC,4,2,6,3,1,2,108,0.6666666666666666
330,226,PITT,ACC,3,2,7,2,0,1,104,0.7777777777777778
277,225,GT,ACC,4,3,6,4,2,2,52,0.6
285,257,SYR,ACC,3,3,6,3,2,1,28,0.6666666666666666
268,221,DUKE,ACC,3,3,7,3,0,2,47,0.7
234,240,UVA,ACC,3,3,5,4,1,1,-6,0.5555555555555556
291,225,VT,ACC,3,3,5,5,0,2,66,0.5
248,207,BC,ACC,2,3,5,4,1,1,41,0.5555555555555556
306,238,UNC,ACC,2,3,5,4,0,0,68,0.5555555555555556
253,294,WAKE,ACC,2,3,4,5,0,2,-41,0.4444444444444444
286,306,NCSU,ACC,2,4,5,5,0,2,-20,0.5
258,174,CAL,ACC,1,4,5,4,0,2,84,0.5555555555555556
184,311,STAN,ACC,1,5,2,7,0,3,-127,0.2222222222222222
133,298,FSU,ACC,1,7,1,9,0,3,-165,0.1
303,178,BYU,Big 12,6,0,9,0,1,0,125,1.0
292,203,COLO,Big 12,5,1,7,2,0,1,89,0.7777777777777778
280,169,ISU,Big 12,4,2,7,2,1,0,111,0.7777777777777778
281,195,KSU,Big 12,4,2,7,2,2,0,86,0.7777777777777778
284,214,ASU,Big 12,4,2,7,2,1,0,70,0.7777777777777778
261,251,WVU,Big 12,4,2,5,4,0,3,10,0.5555555555555556
332,276,TCU,Big 12,4,3,6,4,0,0,56,0.6
355,351,TTU,Big 12,4,3,6,4,1,1,4,0.6
257,200,CIN,Big 12,3,3,5,4,0,0,57,0.5555555555555556
302,241,BAY,Big 12,3,3,5,4,0,3,61,0.5555555555555556
137,198,HOU,Big 12,3,3,4,5,1,2,-61,0.4444444444444444
285,233,KU,Big 12,2,4,3,6,1,1,52,0.3333333333333333
330,264,UCF,Big 12,2,5,4,6,0,2,66,0.4
199,280,ARIZ,Big 12,1,5,3,6,1,2,-81,0.3333333333333333
203,154,UTAH,Big 12,1,5,4,5,1,1,49,0.4444444444444444
278,319,OKST,Big 12,0,7,3,7,0,3,-41,0.3
439,138,IU,Big 10,7,0,10,0,0,0,301,1.0
357,160,ORE,Big 10,7,0,10,0,2,0,197,1.0
347,96,OSU,Big 10,5,1,8,1,1,1,251,0.8888888888888888
281,126,PSU,Big 10,5,1,8,1,1,1,155,0.8888888888888888
294,182,IOWA,Big 10,4,3,6,4,0,1,112,0.6
267,177,MINN,Big 10,4,3,6,4,2,1,90,0.6
233,190,ILL,Big 10,3,3,6,3,3,2,43,0.6666666666666666
226,193,WIS,Big 10,3,3,5,4,0,3,33,0.5555555555555556
218,206,WASH,Big 10,3,4,5,5,1,2,12,0.5
204,230,MICH,Big 10,3,4,5,5,1,4,-26,0.5
169,240,UCLA,Big 10,3,4,4,5,0,3,-71,0.4444444444444444
212,172,NEB,Big 10,2,4,5,4,0,3,40,0.5555555555555556
232,217,RUTG,Big 10,2,4,5,4,0,0,15,0.5555555555555556
178,217,MSU,Big 10,2,4,4,5,0,3,-39,0.4444444444444444
173,197,NU,Big 10,2,4,4,5,0,1,-24,0.4444444444444444
275,200,USC,Big 10,2,5,4,5,1,2,75,0.4444444444444444
247,261,MD,Big 10,1,5,4,5,0,1,-14,0.4444444444444444
162,340,PUR,Big 10,0,6,1,8,0,4,-178,0.1111111111111111
273,199,WKU,ConUSA,5,0,7,2,0,1,74,0.7777777777777778
353,263,JVST,ConUSA,5,0,6,3,0,1,90,0.6666666666666666
224,184,SHSU,ConUSA,4,1,7,2,0,0,40,0.7777777777777778
247,181,LIB,ConUSA,4,2,6,2,0,0,66,0.75
224,224,FIU,ConUSA,2,3,3,6,0,0,0,0.3333333333333333
207,204,LT,ConUSA,2,4,3,6,0,0,3,0.3333333333333333
172,340,MTSU,ConUSA,2,4,3,7,0,1,-168,0.3
192,297,UTEP,ConUSA,2,5,2,8,0,0,-105,0.2
154,292,KENN,ConUSA,1,4,1,8,0,0,-138,0.1111111111111111
185,334,NMSU,ConUSA,1,5,2,7,0,0,-149,0.2222222222222222
345,100,ND,FBSind,0,0,8,1,3,0,245,0.8888888888888888
317,213,CONN,FBSind,0,0,7,3,0,0,104,0.7
173,285,MASS,FBSind,0,0,2,7,0,1,-112,0.2222222222222222
243,187,M-OH,MAC,5,1,6,4,0,1,56,0.6
276,196,OHIO,MAC,5,1,7,3,0,0,80,0.7
271,202,BGSU,MAC,5,1,6,4,0,2,69,0.6
313,343,WMU,MAC,4,2,5,5,0,1,-30,0.5
269,309,BUFF,MAC,4,2,6,4,1,1,-40,0.6
299,211,TOL,MAC,4,2,7,3,0,0,88,0.7
258,185,NIU,MAC,3,3,6,4,1,0,73,0.6
273,272,EMU,MAC,2,4,5,5,0,0,1,0.5
270,401,BALL,MAC,2,4,3,7,0,1,-131,0.3
239,318,CMU,MAC,1,5,3,7,0,0,-79,0.3
186,353,AKR,MAC,1,5,2,8,0,1,-167,0.2
143,448,KENT,MAC,0,6,0,10,0,2,-305,0.0
394,226,BOIS,MWC,5,0,8,1,0,1,168,0.8888888888888888
212,217,CSU,MWC,4,0,6,3,0,1,-5,0.6666666666666666
358,214,UNLV,MWC,3,1,7,2,0,1,144,0.7777777777777778
259,217,SJSU,MWC,3,2,6,3,0,0,42,0.6666666666666666
278,253,FRES,MWC,3,3,5,5,0,1,25,0.5
334,383,UNM,MWC,3,3,4,6,0,1,-49,0.4
196,242,SDSU,MWC,2,2,3,6,0,1,-46,0.3333333333333333
220,227,HAW,MWC,2,3,4,6,0,1,-7,0.4
194,285,WYO,MWC,2,3,2,7,0,0,-91,0.2222222222222222
250,381,USU,MWC,1,3,2,7,0,4,-131,0.2222222222222222
146,240,AFA,MWC,1,4,2,7,0,1,-94,0.2222222222222222
267,314,NEV,MWC,0,5,3,8,0,1,-47,0.2727272727272727
354,243,WSU,PAC12,0,0,8,1,0,1,111,0.8888888888888888
232,259,ORST,PAC12,0,0,4,5,0,1,-27,0.4444444444444444
338,113,TENN,SEC,5,1,8,1,3,0,225,0.8888888888888888
278,191,TA&M,SEC,5,1,7,2,2,1,87,0.7777777777777778
350,109,TEX,SEC,4,1,8,1,3,1,241,0.8888888888888888
275,166,UGA,SEC,5,2,7,2,2,2,109,0.7777777777777778
407,129,MISS,SEC,4,2,8,2,1,1,278,0.8
343,162,ALA,SEC,4,2,7,2,3,1,181,0.7777777777777778
252,166,MIZ,SEC,3,2,7,2,1,2,86,0.7777777777777778
275,224,LSU,SEC,3,2,6,3,1,3,51,0.6666666666666666
272,158,SC,SEC,4,3,6,3,2,3,114,0.6666666666666666
280,217,VAN,SEC,3,3,6,4,1,2,63,0.6
297,237,ARK,SEC,3,3,5,4,1,4,60,0.5555555555555556
