Team Name,Overall W-L_post_week13,Conf. W-L,Overall W-L_raw,PF,PA,AP,Conference,Discrepancy
Army Black Knights,9-1,8-0,10-1,360,166,0-1,AAC,True
Baylor Bears,7-4,6-3,8-4,416,303,0-3,Big 12,True
Clemson Tigers,9-2,7-1,9-3,428,259,0-2,ACC,True
Duke Blue Devils,8-3,5-3,9-3,322,266,0-2,ACC,True
Illinois Fighting Illini,8-3,6-3,9-3,347,265,3-2,Big 10,True
Kansas Jayhawks,5-6,4-5,5-7,356,312,3-1,Big 12,True
Kentucky Wildcats,4-7,1-7,4-8,247,265,1-3,SEC,True
Louisiana Ragin' Cajuns,9-2,7-1,10-2,427,273,0-0,SBC,True
Louisville Cardinals,7-4,5-3,8-4,439,279,1-2,ACC,True
Massachusetts Minutemen,2-9,--,2-10,270,426,0-2,FBSind,True
Michigan Wolverines,6-5,5-4,7-5,267,246,2-4,Big 10,True
North Texas Mean Green,5-6,3-5,6-6,408,414,0-1,AAC,True
Northwestern Wildcats,4-7,2-7,4-8,214,316,0-3,Big 10,True
Ohio State Buckeyes,10-1,7-2,10-2,426,131,2-1,Big 10,True
South Carolina Gamecocks,8-3,5-3,9-3,379,214,4-3,SEC,True
Temple Owls,3-8,2-6,3-9,235,425,0-1,AAC,True
Tennessee Volunteers,9-2,6-2,10-2,447,167,3-1,SEC,True
Texas Tech Red Raiders,7-4,6-3,8-4,463,414,1-1,Big 12,True
UConn Huskies,7-4,--,8-4,388,286,0-0,FBSind,True
UL Monroe Warhawks,5-6,3-5,5-7,252,345,0-1,SBC,True
UTSA Roadrunners,6-5,4-4,6-6,387,376,0-2,AAC,True
Vanderbilt Commodores,6-5,3-5,6-6,320,277,1-3,SEC,True
Wake Forest Demon Deacons,4-7,2-6,4-8,308,390,0-3,ACC,True
West Virginia Mountaineers,6-5,5-4,6-6,342,373,0-3,Big 12,True
