Conf. W-L,Overall W-L,PF,PA,AP,Team Name,Conference
7-0,9-1,331,142,0-1,ARMY,AAC
7-0,9-2,445,187,0-2,TULN,AAC
5-2,7-3,321,235,0-2,NAVY,AAC
5-2,9-2,388,249,0-0,MEM,AAC
5-2,7-4,370,300,0-1,ECU,AAC
4-3,6-5,349,313,0-2,USF,AAC
4-3,6-5,363,347,0-1,UTSA,AAC
3-4,4-7,255,394,0-1,CLT,AAC
2-5,3-8,287,382,0-0,UAB,AAC
2-5,5-6,384,397,0-1,UNT,AAC
2-5,3-8,231,277,0-0,RICE,AAC
2-5,3-8,218,401,0-1,TEM,AAC
1-6,3-8,284,447,0-1,TLSA,AAC
0-7,2-9,248,347,0-0,FAU,AAC
7-0,10-1,432,231,2-0,SMU,ACC
7-1,9-2,414,242,0-1,CLEM,ACC
6-1,10-1,492,245,0-0,MIA,ACC
5-3,7-4,398,265,1-2,LOU,ACC
5-3,7-4,307,254,2-2,GT,ACC
4-3,8-3,349,306,2-1,SYR,ACC
3-3,7-3,268,221,0-2,DUKE,ACC
3-3,5-5,291,225,0-2,VT,ACC
3-4,5-6,255,308,1-3,UVA,ACC
3-4,7-4,359,287,0-2,PITT,ACC
3-4,6-5,317,266,1-2,BC,ACC
3-4,6-5,358,303,0-0,UNC,ACC
2-5,6-5,307,228,0-2,CAL,ACC
2-5,5-6,315,336,0-2,NCSU,ACC
2-5,4-7,291,367,0-3,WAKE,ACC
2-6,3-8,243,370,1-3,STAN,ACC
1-7,2-9,174,305,0-3,FSU,ACC
6-2,9-2,336,251,3-0,ASU,Big 12
6-2,9-2,339,223,1-1,BYU,Big 12
6-2,9-2,345,214,1-0,ISU,Big 12
6-2,8-3,362,264,0-1,COLO,Big 12
5-3,7-4,371,286,0-3,BAY,Big 12
5-3,7-4,381,304,0-0,TCU,Big 12
5-3,7-4,411,399,1-1,TTU,Big 12
5-3,6-5,327,321,0-3,WVU,Big 12
4-3,7-3,295,219,2-0,KSU,Big 12
4-4,5-6,339,267,3-1,KU,Big 12
3-4,5-5,274,234,0-0,CIN,Big 12
3-5,4-7,150,245,1-2,HOU,Big 12
2-6,4-7,351,295,0-2,UCF,Big 12
2-6,4-7,254,332,1-2,ARIZ,Big 12
1-7,4-7,255,234,1-3,UTAH,Big 12
0-8,3-8,326,375,0-3,OKST,Big 12
8-0,11-0,373,173,2-0,ORE,Big 10
7-1,10-1,416,118,2-1,OSU,Big 10
7-1,10-1,454,176,0-1,IU,Big 10
7-1,10-1,356,161,1-1,PSU,Big 10
5-3,8-3,309,237,3-2,ILL,Big 10
5-3,7-4,323,195,0-1,IOWA,Big 10
4-4,6-5,249,225,1-2,WASH,Big 10
4-4,6-5,254,236,1-4,MICH,Big 10
4-4,6-5,292,203,2-2,MINN,Big 10
3-5,5-5,303,220,1-2,USC,Big 10
3-5,4-6,188,271,0-3,UCLA,Big 10
3-5,6-5,276,225,0-3,NEB,Big 10
3-5,5-6,264,253,0-4,WIS,Big 10
3-5,6-5,294,272,0-1,RUTG,Big 10
3-5,5-6,218,272,0-3,MSU,Big 10
2-6,4-7,186,278,0-2,NU,Big 10
1-7,4-7,277,321,0-1,MD,Big 10
0-8,1-10,189,413,0-5,PUR,Big 10
7-0,8-3,408,305,0-1,JVST,ConUSA
5-2,8-2,320,236,0-0,LIB,ConUSA
5-2,7-4,301,249,0-1,WKU,ConUSA
5-2,8-3,258,222,0-0,SHSU,ConUSA
3-4,4-7,233,246,0-0,LT,ConUSA
2-5,3-8,193,376,0-1,MTSU,ConUSA
2-5,2-9,192,353,0-1,UTEP,ConUSA
2-5,2-9,198,341,0-0,KENN,ConUSA
2-5,3-8,281,285,0-0,FIU,ConUSA
2-5,3-8,224,393,0-1,NMSU,ConUSA
--,10-1,429,128,4-0,ND,FBSind
--,7-4,341,244,0-0,CONN,FBSind
--,2-9,228,379,0-2,MASS,FBSind
6-1,7-4,263,196,0-1,M-OH,MAC
6-1,8-3,300,203,0-0,OHIO,MAC
6-1,7-4,309,215,0-2,BGSU,MAC
5-2,7-4,306,329,1-1,BUFF,MAC
4-3,7-4,306,235,0-0,TOL,MAC
4-3,5-6,327,359,0-1,WMU,MAC
3-4,6-5,267,205,1-0,NIU,MAC
2-5,3-8,224,370,0-1,AKR,MAC
2-5,5-6,293,309,0-0,EMU,MAC
2-5,4-7,255,332,0-0,CMU,MAC
2-5,3-8,283,439,0-1,BALL,MAC
0-7,0-11,160,486,0-2,KENT,MAC
7-0,10-1,453,260,0-1,BOIS,MWC
5-0,7-3,236,227,0-1,CSU,MWC
5-1,9-2,426,250,0-1,UNLV,MWC
3-3,5-5,278,253,0-1,FRES,MWC
3-3,5-6,372,418,1-1,UNM,MWC
3-3,4-7,346,411,0-4,USU,MWC
3-4,6-5,296,286,0-2,SJSU,MWC
2-4,3-8,236,324,0-1,SDSU,MWC
2-4,4-7,230,282,0-1,HAW,MWC
2-5,2-9,217,326,0-1,WYO,MWC
1-4,3-7,174,240,0-1,AFA,MWC
0-5,3-8,267,314,0-1,NEV,MWC
1-0,5-6,273,325,1-1,ORST,PAC12
0-1,8-3,427,322,0-1,WSU,PAC12
6-1,10-1,401,133,3-1,TEX,SEC
5-1,8-2,316,194,2-1,TA&M,SEC
6-2,9-2,365,204,3-2,UGA,SEC
5-2,9-2,411,144,3-1,TENN,SEC
5-3,8-3,362,200,3-3,SC,SEC
4-3,8-3,398,193,3-1,ALA,SEC
4-3,7-4,315,268,1-3,LSU,SEC
4-3,8-3,321,220,1-3,MIZ,SEC
4-3,8-3,424,153,1-1,MISS,SEC
4-4,6-5,304,281,2-4,FLA,SEC
3-4,6-5,342,271,1-5,ARK,SEC
3-4,6-5,297,241,1-2,VAN,SEC
2-5,6-5,275,222,1-3,OU,SEC
1-5,4-6,276,187,0-3,AUB,SEC
1-7,4-7,233,224,1-3,UK,SEC
0-7,2-9,296,383,0-4,MSST,SEC
5-1,7-3,306,229,0-1,MRSH,SBC
5-2,7-4,309,308,0-1,GASO,SBC
4-3,8-3,373,214,0-0,JMU,SBC
3-3,4-6,261,262,0-0,ODU,SBC
3-4,5-5,273,333,0-1,APP,SBC
2-5,5-6,310,340,0-0,CCU,SBC
1-6,3-8,259,358,0-0,GAST,SBC
6-1,9-2,390,250,0-0,UL,SBC
5-2,7-4,266,347,0-2,ARST,SBC
5-2,6-5,379,259,0-1,USA,SBC
4-3,6-5,400,253,0-0,TXST,SBC
3-4,5-6,229,308,0-1,ULM,SBC
2-5,3-8,260,321,0-0,TROY,SBC
0-7,1-10,163,401,0-0,USM,SBC
