PF,PA,Team Name,Conference,Conf Wins,Conf Losses,Overall Wins,Overall Losses,AP Wins,AP Losses,SOR,Point Differential,Win Percentage,Conference Rank
331,142,Army Black Knights,AAC,7,0,9,1,0,1,24,189,0.9,6.0
445,187,Tulane Green Wave,AAC,7,0,9,2,0,2,28,258,0.8181818181818182,6.0
321,235,Navy Midshipmen,AAC,5,2,7,3,0,2,47,86,0.7,6.0
388,249,Memphis Tigers,AAC,5,2,9,2,0,0,46,139,0.8181818181818182,6.0
370,300,East Carolina Pirates,AAC,5,2,7,4,0,1,85,70,0.6363636363636364,6.0
349,313,South Florida Bulls,AAC,4,3,6,5,0,2,78,36,0.5454545454545454,6.0
363,347,UTSA Roadrunners,AAC,4,3,6,5,0,1,96,16,0.5454545454545454,6.0
255,394,Charlotte 49ers,AAC,3,4,4,7,0,1,101,-139,0.3636363636363636,6.0
287,382,UAB Blazers,AAC,2,5,3,8,0,0,114,-95,0.2727272727272727,6.0
384,397,North Texas Mean Green,AAC,2,5,5,6,0,1,99,-13,0.4545454545454545,6.0
231,277,Rice Owls,AAC,2,5,3,8,0,0,117,-46,0.2727272727272727,6.0
218,401,Temple Owls,AAC,2,5,3,8,0,1,113,-183,0.2727272727272727,6.0
284,447,Tulsa Golden Hurricane,AAC,1,6,3,8,0,1,126,-163,0.2727272727272727,6.0
248,347,Florida Atlantic Owls,AAC,0,7,2,9,0,0,132,-99,0.1818181818181818,6.0
432,231,SMU Mustangs,ACC,7,0,10,1,2,0,9,201,0.9090909090909092,3.0
414,242,Clemson Tigers,ACC,7,1,9,2,0,1,18,172,0.8181818181818182,3.0
492,245,Miami Hurricanes,ACC,6,1,10,1,0,0,6,247,0.9090909090909092,3.0
398,265,Louisville Cardinals,ACC,5,3,7,4,1,2,29,133,0.6363636363636364,3.0
307,254,Georgia Tech Yellow Jackets,ACC,5,3,7,4,2,2,32,53,0.6363636363636364,3.0
349,306,Syracuse Orange,ACC,4,3,8,3,2,1,33,43,0.7272727272727273,3.0
268,221,Duke Blue Devils,ACC,3,3,7,3,0,2,31,47,0.7,3.0
291,225,Virginia Tech Hokies,ACC,3,3,5,5,0,2,67,66,0.5,3.0
255,308,Virginia Cavaliers,ACC,3,4,5,6,1,3,64,-53,0.4545454545454545,3.0
359,287,Pittsburgh Panthers,ACC,3,4,7,4,0,2,36,72,0.6363636363636364,3.0
317,266,Boston College Eagles,ACC,3,4,6,5,1,2,54,51,0.5454545454545454,3.0
358,303,North Carolina Tar Heels,ACC,3,4,6,5,0,0,71,55,0.5454545454545454,3.0
307,228,California Golden Bears,ACC,2,5,6,5,0,2,73,79,0.5454545454545454,3.0
315,336,NC State Wolfpack,ACC,2,5,5,6,0,2,82,-21,0.4545454545454545,3.0
291,367,Wake Forest Demon Deacons,ACC,2,5,4,7,0,3,88,-76,0.3636363636363636,3.0
