Team Name,Conference,Team Score
ORE,Big 10,117.7
IU,Big 10,108.1
TEX,SEC,107.52105263157894
TENN,SEC,106.42105263157895
OSU,Big 10,90.43333333333332
ND,FBSind,89.5
ALA,SEC,87.94210526315788
BYU,Big 12,85.5
MISS,SEC,82.64210526315789
SMU,ACC,82.0
ARMY,AAC,81.39999999999999
PSU,Big 10,80.83333333333333
UGA,SEC,79.2421052631579
MIA,ACC,75.63529411764706
TA&M,SEC,69.62105263157895
SC,SEC,65.66315789473686
ILL,Big 10,58.3
TULN,AAC,58.3
MIZ,SEC,57.94210526315789
KSU,Big 12,57.849999999999994
BOIS,MWC,53.8
CLEM,ACC,52.33529411764705
ISU,Big 12,50.349999999999994
UL,SBC,47.6
ASU,Big 12,46.25
LOU,ACC,43.27058823529411
WSU,PAC12,43.1
PITT,ACC,42.370588235294115
COLO,Big 12,42.025
LSU,SEC,41.4421052631579
SYR,ACC,41.00588235294117
MINN,Big 10,41.0
MEM,AAC,40.114285714285714
NAVY,AAC,39.957142857142856
GT,ACC,38.90588235294118
JMU,SBC,37.88461538461539
UNLV,MWC,34.9
ARK,SEC,32.76315789473684
DUKE,ACC,31.90588235294118
CONN,FBSind,30.4
VAN,SEC,30.06315789473684
WKU,ConUSA,24.9
IOWA,Big 10,23.200000000000003
SHSU,ConUSA,19.272727272727273
LIB,ConUSA,19.145454545454548
TTU,Big 12,17.775
NEB,Big 10,14.333333333333334
WIS,Big 10,14.299999999999997
MICH,Big 10,13.733333333333334
BAY,Big 12,13.475000000000001
MRSH,SBC,13.192307692307693
BC,ACC,11.805882352941179
TOL,MAC,11.799999999999997
UVA,ACC,10.605882352941176
USC,Big 10,10.166666666666668
CAL,ACC,9.841176470588234
WASH,Big 10,9.533333333333337
JVST,ConUSA,9.5
OHIO,MAC,9.0
TCU,Big 12,8.975000000000001
WVU,Big 12,8.25
SJSU,MWC,6.200000000000003
GASO,SBC,5.592307692307692
NIU,MAC,5.299999999999997
OU,SEC,1.8052631578947391
CSU,MWC,1.5
CIN,Big 12,1.0750000000000028
UNC,ACC,0.5058823529411738
RUTG,Big 10,-0.16666666666666607
VT,ACC,-0.19411764705882106
FLA,SEC,-0.8157894736842106
BGSU,MAC,-1.1000000000000014
ECU,AAC,-2.1857142857142913
UTAH,Big 12,-2.4750000000000014
TXST,SBC,-3.115384615384615
BUFF,MAC,-4.0
UNT,AAC,-4.428571428571429
M-OH,MAC,-6.399999999999999
NCSU,ACC,-9.058823529411764
HOU,Big 12,-9.725000000000001
UCLA,Big 10,-9.766666666666667
ULM,SBC,-10.223076923076924
MSU,Big 10,-10.566666666666665
CCU,SBC,-11.723076923076924
ARST,SBC,-14.615384615384615
UK,SEC,-15.573684210526316
UCF,Big 12,-15.774999999999999
USA,SBC,-16.41538461538461
MD,Big 10,-16.73333333333333
NU,Big 10,-17.066666666666663
AUB,SEC,-17.894736842105264
FRES,MWC,-18.0
KU,Big 12,-19.299999999999997
WAKE,ACC,-19.394117647058824
USF,AAC,-22.628571428571426
UTSA,AAC,-26.32857142857143
EMU,MAC,-26.9
ARIZ,Big 12,-28.475
APP,SBC,-29.630769230769232
ODU,SBC,-29.915384615384617
WMU,MAC,-30.0
MASS,FBSind,-36.2
ORST,PAC12,-38.7
HAW,MWC,-39.2
OKST,Big 12,-39.225
UNM,MWC,-42.4
LT,ConUSA,-46.60909090909091
FIU,ConUSA,-49.18181818181818
SDSU,MWC,-50.6
TLSA,AAC,-51.87142857142857
CLT,AAC,-52.02857142857143
STAN,ACC,-55.02352941176471
RICE,AAC,-55.57142857142857
MSST,SEC,-56.27368421052631
USU,MWC,-62.6
TROY,SBC,-66.53076923076922
CMU,MAC,-66.9
FAU,AAC,-68.11428571428571
AFA,MWC,-68.4
UAB,AAC,-69.17142857142858
NEV,MWC,-69.2
BALL,MAC,-70.1
GAST,SBC,-70.53846153846153
MTSU,ConUSA,-71.7090909090909
TEM,AAC,-72.77142857142857
PUR,Big 10,-72.8
WYO,MWC,-73.6
NMSU,ConUSA,-77.03636363636363
FSU,ACC,-81.35294117647058
UTEP,ConUSA,-84.13636363636364
AKR,MAC,-88.7
USM,SBC,-93.73846153846154
KENN,ConUSA,-95.2090909090909
KENT,MAC,-130.5
